Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age at marriage,Number of ever married persons - Males,Number of ever married persons - Females,Duration of marriage of currently married persons - All durations - Males,Duration of marriage of currently married persons - All durations - Females,Duration of marriage of currently married persons - 0-4 - Males,Duration of marriage of currently married persons - 0-4 - Females,Duration of marriage of currently married persons - 5-9 - Males,Duration of marriage of currently married persons - 5-9 - Females,Duration of marriage of currently married persons - 10-19 - Males,Duration of marriage of currently married persons - 10-19 - Females,Duration of marriage of currently married persons - 20-29 - Males,Duration of marriage of currently married persons - 20-29 - Females,Duration of marriage of currently married persons - 30-39 - Males,Duration of marriage of currently married persons - 30-39 - Females,Duration of marriage of currently married persons - 40+ - Males,Duration of marriage of currently married persons - 40+ - Females,Duration of marriage of currently married persons - Duration not known - Males,Duration of marriage of currently married persons - Duration not known - Females
C1104,00,00,0000,INDIA,Total,All ages,242537413,273405276,231820399,236772617,29782531,31909185,33093484,34270239,64123879,66316038,47200498,47506787,26574628,26435351,23951370,23338699,7094009,6996318
C1104,00,00,0000,INDIA,Total,Less than 10,3448612,8086125,3232370,7084447,39042,85889,78089,175033,545198,1534642,988040,1876071,647826,1421617,914128,1966588,20047,24607
C1104,00,00,0000,INDIA,Total,10-11,1683463,5837955,1537921,4946611,70147,184382,105079,314452,345408,1118891,347473,1103497,254949,872883,405381,1335865,9484,16641
C1104,00,00,0000,INDIA,Total,12-13,2243366,12292282,2055784,10323350,136941,548750,189829,1035146,511275,2855813,451727,2333776,312110,1613249,448623,1921629,5279,14987
C1104,00,00,0000,INDIA,Total,14-15,7385481,38657829,6699267,32591403,454119,2349216,603966,3664630,1676699,9308706,1457238,7416053,1029780,4732800,1463507,5081855,13958,38143
C1104,00,00,0000,INDIA,Total,16-17,12185368,54009556,11367486,47932371,1430435,7074644,1603436,7495740,3347606,14725335,2151708,9539546,1304785,5021074,1509757,4019600,19759,56432
C1104,00,00,0000,INDIA,Total,18-19,32882993,70134873,31140229,62691079,4105450,10235313,4473190,10189131,9153713,18717737,6161259,12539017,3553702,6268585,3646993,4669888,45922,71408
C1104,00,00,0000,INDIA,Total,20-21,60228689,43862874,57322317,36808416,6259792,5232243,8116893,6126750,16316664,10385740,12529609,7817449,6927573,4065587,7092327,3135818,79459,44829
C1104,00,00,0000,INDIA,Total,22-23,36128205,15256406,35154594,13794684,5276470,3024856,5627927,2665742,10614459,3871345,7259264,2459472,3617497,1136099,2714865,619645,44112,17525
C1104,00,00,0000,INDIA,Total,24-25,35311760,9018216,34194839,7811178,4244453,1658657,4907658,1423603,9746142,2142076,7642981,1403104,4248184,770522,3365248,403550,40173,9666
C1104,00,00,0000,INDIA,Total,26-27,15182491,3102329,14917536,2840442,3005771,790396,2666010,558995,4301200,766962,2789579,436204,1392340,211566,746040,72876,16596,3443
C1104,00,00,0000,INDIA,Total,28-29,11406586,1776347,11196979,1579774,2216537,388683,1964720,303562,3148984,426569,2082097,259264,1177356,148083,594504,51401,12781,2212
C1104,00,00,0000,INDIA,Total,30-31,8987800,1110412,8707948,880167,1160869,142977,1492845,177074,2334559,236865,1762277,166845,1235479,112898,709772,42072,12147,1436
C1104,00,00,0000,INDIA,Total,32-33,3202682,345500,3137805,297779,644333,77415,580595,58843,886677,79022,571590,49766,324589,25167,126182,7074,3839,492
C1104,00,00,0000,INDIA,Total,34+,4561252,726942,4396676,500060,738172,115764,683247,81538,1195295,146335,1005656,106723,548458,35221,214043,10838,11805,3641
C1104,00,00,0000,INDIA,Total,Age not stated,7698665,9187630,6758648,6690856,0,0,0,0,0,0,0,0,0,0,0,0,6758648,6690856
C1104,00,00,0000,INDIA,Rural,All ages,173371152,198588097,164990657,171904293,20634673,22892742,23142854,24665890,45156493,47778966,33306865,34169758,19574778,19727825,18904689,18387830,4270305,4281282
C1104,00,00,0000,INDIA,Rural,Less than 10,2731852,6607422,2548849,5805544,37467,81828,73584,164046,457303,1274836,731983,1483421,496616,1141278,736628,1640496,15268,19639
C1104,00,00,0000,INDIA,Rural,10-11,1492064,4893200,1360056,4173979,66829,174122,96484,282013,303135,940897,298453,908910,223098,724809,364368,1129540,7689,13688
C1104,00,00,0000,INDIA,Rural,12-13,1987089,9960690,1820511,8475241,129250,507370,172569,891070,449009,2325192,391685,1863732,273976,1303380,399455,1572240,4567,12257
C1104,00,00,0000,INDIA,Rural,14-15,6420428,30459409,5827938,25942089,416662,2069745,536199,3035563,1449821,7371957,1245419,5704015,888146,3688333,1279604,4042642,12087,29834
C1104,00,00,0000,INDIA,Rural,16-17,10377393,42032628,9680000,37523994,1264208,5804361,1376543,5946456,2806624,11359101,1806883,7267491,1109997,3899346,1298947,3204589,16798,42650
C1104,00,00,0000,INDIA,Rural,18-19,27149132,52290519,25694291,46773123,3462209,7741414,3703479,7596243,7482070,13782018,5006059,9181592,2937543,4735344,3065265,3686127,37666,50385
C1104,00,00,0000,INDIA,Rural,20-21,46969858,29626268,44633420,24404684,4878582,3369922,6298793,3997610,12548501,6728718,9591722,5139601,5466247,2813883,5789611,2328331,59964,26619
C1104,00,00,0000,INDIA,Rural,22-23,25268540,8672165,24540418,7687784,3689181,1638211,3889525,1472625,7295393,2112386,4985524,1362739,2610569,680491,2042060,413112,28166,8220
C1104,00,00,0000,INDIA,Rural,24-25,22800950,4820283,22004249,4027532,2608665,790442,3078103,715860,6133907,1079237,4849465,733500,2880192,445374,2430961,259160,22956,3959
C1104,00,00,0000,INDIA,Rural,26-27,8369766,1491545,8204325,1338624,1637027,365028,1467773,261341,2331831,353728,1495340,205726,802405,109579,462736,42064,7213,1158
C1104,00,00,0000,INDIA,Rural,28-29,5986489,896759,5862250,781786,1142184,183837,1025100,144638,1606335,205252,1069819,132762,653062,82809,360551,31631,5199,857
C1104,00,00,0000,INDIA,Rural,30-31,4939587,607260,4760351,462878,582603,66319,783445,86969,1216890,121632,964189,92971,739554,67531,467702,26814,5968,642
C1104,00,00,0000,INDIA,Rural,32-33,1616111,174663,1579889,147221,330781,36915,287519,27585,431845,38019,287439,26314,169785,14043,71005,4158,1515,187
C1104,00,00,0000,INDIA,Rural,34+,2542462,441182,2435821,290698,389025,63228,353738,43871,643829,85993,582885,66984,323588,21625,135796,6926,6960,2071
C1104,00,00,0000,INDIA,Rural,Age not stated,4719431,5614104,4038289,4069116,0,0,0,0,0,0,0,0,0,0,0,0,4038289,4069116
C1104,00,00,0000,INDIA,Urban,All ages,69166261,74817179,66829742,64868324,9147858,9016443,9950630,9604349,18967386,18537072,13893633,13337029,6999850,6707526,5046681,4950869,2823704,2715036
C1104,00,00,0000,INDIA,Urban,Less than 10,716760,1478703,683521,1278903,1575,4061,4505,10987,87895,259806,256057,392650,151210,280339,177500,326092,4779,4968
C1104,00,00,0000,INDIA,Urban,10-11,191399,944755,177865,772632,3318,10260,8595,32439,42273,177994,49020,194587,31851,148074,41013,206325,1795,2953
C1104,00,00,0000,INDIA,Urban,12-13,256277,2331592,235273,1848109,7691,41380,17260,144076,62266,530621,60042,470044,38134,309869,49168,349389,712,2730
C1104,00,00,0000,INDIA,Urban,14-15,965053,8198420,871329,6649314,37457,279471,67767,629067,226878,1936749,211819,1712038,141634,1044467,183903,1039213,1871,8309
C1104,00,00,0000,INDIA,Urban,16-17,1807975,11976928,1687486,10408377,166227,1270283,226893,1549284,540982,3366234,344825,2272055,194788,1121728,210810,815011,2961,13782
C1104,00,00,0000,INDIA,Urban,18-19,5733861,17844354,5445938,15917956,643241,2493899,769711,2592888,1671643,4935719,1155200,3357425,616159,1533241,581728,983761,8256,21023
C1104,00,00,0000,INDIA,Urban,20-21,13258831,14236606,12688897,12403732,1381210,1862321,1818100,2129140,3768163,3657022,2937887,2677848,1461326,1251704,1302716,807487,19495,18210
C1104,00,00,0000,INDIA,Urban,22-23,10859665,6584241,10614176,6106900,1587289,1386645,1738402,1193117,3319066,1758959,2273740,1096733,1006928,455608,672805,206533,15946,9305
C1104,00,00,0000,INDIA,Urban,24-25,12510810,4197933,12190590,3783646,1635788,868215,1829555,707743,3612235,1062839,2793516,669604,1367992,325148,934287,144390,17217,5707
C1104,00,00,0000,INDIA,Urban,26-27,6812725,1610784,6713211,1501818,1368744,425368,1198237,297654,1969369,413234,1294239,230478,589935,101987,283304,30812,9383,2285
C1104,00,00,0000,INDIA,Urban,28-29,5420097,879588,5334729,797988,1074353,204846,939620,158924,1542649,221317,1012278,126502,524294,65274,233953,19770,7582,1355
C1104,00,00,0000,INDIA,Urban,30-31,4048213,503152,3947597,417289,578266,76658,709400,90105,1117669,115233,798088,73874,495925,45367,242070,15258,6179,794
C1104,00,00,0000,INDIA,Urban,32-33,1586571,170837,1557916,150558,313552,40500,293076,31258,454832,41003,284151,23452,154804,11124,55177,2916,2324,305
C1104,00,00,0000,INDIA,Urban,34+,2018790,285760,1960855,209362,349147,52536,329509,37667,551466,60342,422771,39739,224870,13596,78247,3912,4845,1570
C1104,00,00,0000,INDIA,Urban,Age not stated,2979234,3573526,2720359,2621740,0,0,0,0,0,0,0,0,0,0,0,0,2720359,2621740
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,All ages,2261051,2233414,2161741,2025738,224393,209595,290496,263453,606647,561127,460542,431504,251129,237496,189271,180508,139263,142055
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,Less than 10,17131,22820,16159,19979,6,26,38,146,1807,3292,5916,5930,3692,4453,4564,6023,136,109
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,10-11,4456,16551,4216,14484,39,129,149,357,994,2669,1336,3601,816,3157,850,4537,32,34
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,12-13,4741,34890,4412,30414,128,540,266,1902,1189,7412,1271,7452,703,6072,830,6966,25,70
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,14-15,23344,171944,21262,152390,911,4885,1774,11255,6406,39588,5238,39326,3221,27368,3634,29702,78,266
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,16-17,62140,302534,58218,279786,5056,25225,7641,37763,19955,92225,12739,66033,6724,33605,5933,24374,170,561
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,18-19,226939,529503,215647,492453,19728,53018,28497,70216,70118,155966,49619,115643,25755,57182,21439,39476,491,952
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,20-21,513348,486665,485622,432891,36000,43664,59923,61884,147200,127983,122105,102154,62170,54255,57236,42233,988,718
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,22-23,346219,219845,336153,205910,38949,34913,51759,35920,110672,61965,75027,41878,36281,20035,22702,10811,763,388
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,24-25,421567,155710,404762,139909,39251,22829,55494,22748,117418,38656,96286,27291,54764,17571,40674,10547,875,267
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,26-27,165861,53574,162636,50832,31432,12291,31295,9775,49191,14112,28989,8353,14326,4472,7104,1749,299,80
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,28-29,126786,34273,124161,32105,25318,6537,22928,5603,34219,8430,21618,5925,13098,3902,6734,1653,246,55
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,30-31,121536,24392,116123,20520,13462,2472,18810,3564,28573,5001,23201,4260,19058,3478,12672,1696,347,49
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,32-33,30593,6562,29884,6095,7031,1281,5674,1039,7666,1489,5382,1248,2919,766,1149,261,63,11
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,34+,50626,11708,48059,9523,7082,1785,6248,1281,11239,2339,11815,2410,7602,1180,3750,480,323,48
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Total,Age not stated,145764,162443,134427,138447,0,0,0,0,0,0,0,0,0,0,0,0,134427,138447
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,All ages,1620596,1666448,1538203,1508942,159449,161872,200115,197200,423162,413611,330533,320330,185226,178194,146647,139027,93071,98708
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,Less than 10,11808,17005,11078,14801,6,20,27,100,1338,2492,3995,4375,2475,3236,3160,4508,77,70
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,10-11,3406,13318,3211,11651,32,112,123,284,743,2107,998,2859,634,2572,660,3692,21,25
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,12-13,3643,27496,3375,24135,111,469,228,1564,905,5851,932,5916,547,4954,634,5328,18,53
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,14-15,18571,138243,16874,123688,815,4294,1470,9549,5085,32650,4080,31897,2538,21884,2835,23198,51,216
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,16-17,50390,241797,47093,225079,4385,22079,6403,31679,16051,74259,10220,52017,5233,26053,4670,18550,131,442
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,18-19,180947,415302,171416,387445,16845,45346,23133,56630,55036,121561,39027,88969,20127,43729,16853,30463,395,747
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,20-21,401068,365156,377159,322742,28711,34580,46102,46456,111768,92656,94989,74618,48730,40676,46118,33234,741,522
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,22-23,249471,150099,241169,139540,29366,25400,36364,24397,77620,40131,53721,27633,26716,13737,16877,7980,505,262
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,24-25,296868,103434,282810,91209,27409,15114,37108,14362,79301,23631,66778,17825,40012,12152,31604,7928,598,197
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,26-27,101396,31833,98921,29938,20479,7411,18512,5574,28698,7857,16913,5027,9168,2847,4984,1171,167,51
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,28-29,74216,20609,72264,19124,15433,3765,12936,3129,18723,4828,12282,3686,8125,2514,4647,1166,118,36
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,30-31,78934,16261,74457,13290,7710,1393,11039,2050,16674,3106,15099,2967,13704,2468,9966,1275,265,31
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,32-33,17201,4023,16690,3711,3939,753,2976,559,4032,886,3131,798,1809,513,770,195,33,7
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,34+,34032,8150,31991,6570,4208,1136,3694,867,7188,1596,8368,1743,5408,859,2869,339,256,30
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Rural,Age not stated,98645,113722,89695,96019,0,0,0,0,0,0,0,0,0,0,0,0,89695,96019
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Urban,All ages,640455,566966,623538,516796,64944,47723,90381,66253,183485,147516,130009,111174,65903,59302,42624,41481,46192,43347
C1104,01,00,0000,State - JAMMU & KASHMIR  01,Urban,Less than 10,5323,5815,5081,5178,0,6,11,46,469,800,1921,1555,1217,1217,1404,1515,59,39
